A=Rank	B=Calculator Keyword	C=Category	D=Monthly Volume (US)	E=KD	F=CPC (USD)	G=Search Intent	H=SERP Features
A=450	B=utah paycheck calculator	C=Finance & Loans	D=4400	E=15	F=8.09	G=Informational	H=Related searches
A=451	B=ap lang score calculator	C=Other & Misc	D=12100	E=17	F=0	G=Informational	H=Sitelinks, Video, Related searches
A=452	B=calculator net calculator	C=Other & Misc	D=18100	E=61	F=0	G=Navigational	H=Sitelinks, Video, People also ask, Related searches
A=453	B=correlation coefficient calculator	C=Other & Misc	D=6600	E=37	F=4.73	G=Informational	H=Video, Video carousel, People also ask, Related searches
A=454	B=ffmi calculator	C=Other & Misc	D=12100	E=18	F=0.01	G=Informational	H=Video, Related searches
A=455	B=cost of petrol calculator	C=Other & Misc	D=8100	E=50	F=3.71	G=Informational	H=Sitelinks, Video, Related searches
A=456	B=silca tire pressure calculator	C=Other & Misc	D=8100	E=28	F=2	G=Informational, Transactional	H=Sitelinks, Image, Video, Video carousel, People also ask, Related searches
A=457	B=cpi inflation calculator	C=Finance & Loans	D=14800	E=89	F=1.74	G=Informational	H=Video, Related searches
A=458	B=board feet calculator	C=Finance & Loans	D=12100	E=19	F=0.02	G=Informational	H=Image, Video, People also ask, Related searches
A=459	B=recipe calorie calculator	C=Health & Fitness	D=12100	E=55	F=1.13	G=Informational	H=Video, People also ask
A=460	B=car affordability calculator	C=Finance & Loans	D=12100	E=59	F=1.28	G=Informational	H=Sitelinks, Video, People also ask, Related searches
A=461	B=salary calculator illinois	C=Finance & Loans	D=5400	E=25	F=5.8	G=Informational	H=Sitelinks, Related searches
A=462	B=median calculator	C=Other & Misc	D=14800	E=41	F=0	G=Informational	H=Video, People also ask, Related searches
A=463	B=after tax income calculator	C=Finance & Loans	D=12100	E=76	F=2.19	G=Informational, Commercial	H=Video, Related searches
A=464	B=exponent calculator	C=Math & Science	D=14800	E=58	F=0.41	G=Informational	H=Sitelinks, Instant answer, Video, People also ask, Related searches
A=465	B=va paycheck calculator	C=Finance & Loans	D=4400	E=16	F=7.77	G=Informational	H=Video, Related searches
A=466	B=hours to decimal calculator	C=Date & Time	D=5400	E=20	F=5.02	G=Informational	H=Video, Related searches
A=467	B=soil calculator	C=Home & Construction	D=14800	E=44	F=0.04	G=Informational	H=Video, Related searches
A=468	B=fers retirement calculator	C=Finance & Loans	D=12100	E=42	F=0.56	G=Informational	H=Sitelinks, AI Overview, Video, People also ask, Related searches
A=469	B=azure pricing calculator	C=Other & Misc	D=12100	E=58	F=1.16	G=Navigational, Transactional	H=Sitelinks, Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom
A=470	B=cap rate calculator	C=Finance & Loans	D=9900	E=24	F=0.68	G=Informational	H=Sitelinks, AI Overview, Video, People also ask, Related searches
A=471	B=car refinance calculator	C=Finance & Loans	D=12100	E=58	F=1.14	G=Commercial	H=People also ask, Related searches, Ads bottom
A=472	B=nevada paycheck calculator	C=Finance & Loans	D=4400	E=24	F=9.07	G=Informational	H=People also ask, Related searches
A=473	B=moving cost calculator	C=Other & Misc	D=5400	E=37	F=7.24	G=Commercial	H=Sitelinks, Video, People also ask, Related searches, Ads top, Ads bottom
A=474	B=matrix multiplication calculator	C=Math & Science	D=14800	E=44	F=0	G=Informational	H=Video, Related searches
A=475	B=days between dates calculator	C=Date & Time	D=18100	E=66	F=0	G=Informational, Transactional	H=Related searches
A=476	B=golf handicap calculator	C=Other & Misc	D=9900	E=43	F=1.36	G=Informational	H=AI Overview, Video, Video carousel, People also ask, Related searches
A=477	B=saturn return calculator	C=Other & Misc	D=12100	E=23	F=0	G=Informational	H=Sitelinks, Video, People also ask, Related searches
A=478	B=gold price calculator	C=Other & Misc	D=12100	E=37	F=0.33	G=Transactional	H=Sitelinks, Video, Related searches
A=479	B=motorcycle loan calculator	C=Finance & Loans	D=12100	E=54	F=0.88	G=Commercial	H=People also ask, Related searches
A=480	B=federal income tax calculator	C=Finance & Loans	D=18100	E=82	F=0.36	G=Commercial	H=Related searches
A=481	B=share incentive plan calculator	C=Other & Misc	D=6600	E=5	F=1.64	G=Informational	H=AI Overview, Video, People also ask, Related searches
A=482	B=paypal fees calculator	C=Finance & Loans	D=5400	E=48	F=8.87	G=Informational	H=Video, People also ask, Related searches
A=483	B=stone calculator	C=Home & Construction	D=9900	E=18	F=0.39	G=Informational	H=Video, Related searches
A=484	B=amortization schedule calculator	C=Finance & Loans	D=14800	E=74	F=0.79	G=Informational	H=Sitelinks, Video, Knowledge panel, Related searches
A=485	B=mpg calculator	C=Home & Construction	D=9900	E=66	F=2.7	G=Informational	H=Video, People also ask, Related searches
A=486	B=return on investment calculator	C=Finance & Loans	D=12100	E=70	F=1.57	G=Informational, Transactional	H=Video, People also ask, Related searches
A=487	B=mn paycheck calculator	C=Finance & Loans	D=4400	E=31	F=9.87	G=Informational	H=Related searches
A=488	B=alcohol calculator	C=Health & Fitness	D=8100	E=42	F=2.48	G=Informational	H=Video, Related searches
A=489	B=rocket mortgage calculator	C=Finance & Loans	D=8100	E=55	F=3.54	G=Navigational	H=Video, People also ask, Related searches
A=490	B=stair stringer calculator	C=Home & Construction	D=9900	E=33	F=0.85	G=Informational	H=Image pack, Video, Video carousel, People also ask, Related searches
A=491	B=sod calculator	C=Home & Construction	D=6600	E=19	F=2.39	G=Informational	H=Sitelinks, Video, People also ask, Related searches
A=492	B=nutrition calculator	C=Other & Misc	D=14800	E=86	F=1.22	G=Informational	H=Video, People also ask, Related searches
A=493	B=commercial mortgage calculator	C=Finance & Loans	D=9900	E=54	F=1.79	G=Commercial	H=People also ask, Related searches
A=494	B=rock calculator	C=Home & Construction	D=9900	E=20	F=0.39	G=Informational	H=Sitelinks, Video, Related searches
A=495	B=meld score calculator	C=Health & Fitness	D=8100	E=60	F=3.84	G=Informational	H=Image, People also ask, Related searches
A=496	B=debt calculator	C=Finance & Loans	D=9900	E=75	F=3.18	G=Commercial	H=Sitelinks, Video, People also ask, Related searches
A=497	B=lottery annuity calculator	C=Finance & Loans	D=6600	E=50	F=5.14	G=Informational	H=AI Overview, Video, Related searches
A=498	B=hypotenuse calculator	C=Math & Science	D=14800	E=49	F=0	G=Informational	H=AI Overview, Instant answer, Video, People also ask, Knowledge panel, Related searches, See results about
A=499	B=home equity calculator	C=Finance & Loans	D=8100	E=61	F=3.84	G=Commercial	H=Sitelinks, Video, People also ask, Related searches
A=500	B=wordle calculator	C=Other & Misc	D=12100	E=28	F=0	G=Commercial	H=Video, Related searches
